config_label,num_inflight_agents,iterations,minimal_inflight,actual_agents_per_second,agents_per_second_per_inflight,T
inifinite_storage,1,1000,220.0,0.0017909006007665595,0.0017909006007665595,558378.2816153894
inifinite_storage,24,24000,220.0,0.0433061584609637,0.001804423269206821,554193.6956064499
inifinite_storage,47,47000,220.0,0.08468372876204347,0.0018017814630222014,555006.264923305
inifinite_storage,70,70000,220.0,0.12625947559086387,0.0018037067941551982,554413.8344660224
inifinite_storage,93,93000,220.0,0.16722294770396814,0.001798096211870625,556143.7666117229
inifinite_storage,117,117000,220.0,0.21060705224563434,0.0018000602756037122,555536.9525971098
inifinite_storage,140,140000,220.0,0.25235809189513086,0.0018025577992509347,554767.2315503873
inifinite_storage,163,163000,220.0,0.2920662164823932,0.0017918172790330872,558092.6201022165
inifinite_storage,186,186000,220.0,0.32880109675873526,0.001767747832036211,565691.5437130717
inifinite_storage,209,209000,220.0,0.35398343970709206,0.001693700668454986,590423.100507017
inifinite_storage,232,232000,220.0,0.36294675139743393,0.0015644256525751462,639212.2235747892
inifinite_storage,255,255000,220.0,0.3637018954976929,0.0014262819431282074,701123.6486712717
inifinite_storage,278,278000,220.0,0.3634652521500488,0.001307428964568521,764859.9098690008
inifinite_storage,301,301000,220.0,0.3632463482088381,0.0012067984990326848,828638.7502151808
inifinite_storage,324,324000,220.0,0.36334618741147734,0.001121438850035424,891711.5721186332
inifinite_storage,348,348000,220.0,0.3633203464496118,0.0010440239840506086,957832.4016275908
inifinite_storage,371,371000,220.0,0.36361226394113627,0.0009800869648009063,1020317.6206951581
inifinite_storage,394,394000,220.0,0.3636436604916146,0.0009229534530244026,1083478.2585439445
inifinite_storage,417,417000,220.0,0.36339392030289774,0.0008714482501268531,1147515.0702918207
inifinite_storage,440,440000,220.0,0.3636875867084297,0.0008265626970646129,1209829.579233757
limited_hbm_only,1,1000,220.0,0.0017759873208276805,0.0017759873208276805,563067.0828967182
limited_hbm_only,24,24000,220.0,0.04322479231437156,0.001801033013098815,555236.9072232738
limited_hbm_only,47,47000,220.0,0.08466425178302339,0.0018013670592132637,555133.9439041058
limited_hbm_only,70,70000,220.0,0.12596970546192154,0.0017995672208845936,555689.161479859
limited_hbm_only,93,93000,220.0,0.1658207271114227,0.0017830185710905667,560846.654215362
limited_hbm_only,117,117000,220.0,0.20465418232242438,0.0017491810454908067,571696.1103471183
limited_hbm_only,140,140000,220.0,0.23107384847094017,0.001650527489078144,605866.916253859
limited_hbm_only,163,163000,220.0,0.20971728365179126,0.0012866091021582287,777236.8455364922
limited_hbm_only,186,186000,220.0,0.1724658460565411,0.0009272357314867802,1078474.400891072
limited_hbm_only,209,209000,220.0,0.14903828630539306,0.000713101848351163,1402324.229438199
limited_hbm_only,232,232000,220.0,0.09701265520901861,0.0004181579965905975,2391440.5754604326
limited_hbm_only,255,255000,220.0,0.09095664637607405,0.0003566927308865649,2803533.4432369443
limited_hbm_only,278,278000,220.0,0.0908635090788594,0.0003268471549599259,3059534.050778591
limited_hbm_only,301,301000,220.0,0.09078975963248037,0.0003016271084135561,3315351.8768907078
limited_hbm_only,324,324000,220.0,0.09096308972326622,0.00028075027692366116,3561884.2871948797
limited_hbm_only,348,348000,220.0,0.09095287570645792,0.00026135883823694806,3826157.1973066377
limited_hbm_only,371,371000,220.0,0.09086394836250894,0.0002449163028639055,4083027.500850679
limited_hbm_only,394,394000,220.0,0.09082694682242506,0.0002305252457421956,4337919.678950629
limited_hbm_only,417,417000,220.0,0.09091200663981791,0.00021801440441203337,4586852.8856931105
limited_hbm_only,440,440000,220.0,0.09087121526323956,0.00020652548923463535,4842017.339873683
recompute,1,1000,220.0,0.0013800820916392215,0.0013800820916392215,724594.5774227306
recompute,24,24000,220.0,0.03325293598327299,0.001385538999303041,721740.7813876214
recompute,47,47000,220.0,0.06513883340131246,0.0013859326255598397,721535.7958660189
recompute,70,70000,220.0,0.0880558656951009,0.0012579409385014414,794949.8815034026
recompute,93,93000,220.0,0.09077200524485111,0.0009760430671489367,1024544.9546822176
recompute,117,117000,220.0,0.0909356033736362,0.0007772273792618479,1286624.772469705
recompute,140,140000,220.0,0.0908234756475278,0.0006487391117680557,1541451.6896855927
recompute,163,163000,220.0,0.0909527389882672,0.0005579922637317005,1792139.5420651028
recompute,186,186000,220.0,0.09090766031283973,0.0004887508618969877,2046032.197505907
recompute,209,209000,220.0,0.0908301231033555,0.00043459389044667705,2300998.753047809
recompute,232,232000,220.0,0.09100018763836254,0.00039224218809639025,2549445.292596263
recompute,255,255000,220.0,0.09089872800528855,0.0003564656000207394,2805319.783849604
recompute,278,278000,220.0,0.09096462502700135,0.0003272108813920912,3056133.08379472
recompute,301,301000,220.0,0.09081452572821593,0.0003017093878013818,3314447.7448554225
recompute,324,324000,220.0,0.09081610660453823,0.0002802966253226489,3567649.0890637804
recompute,348,348000,220.0,0.09084699188957136,0.00026105457439532003,3830616.6529213185
recompute,371,371000,220.0,0.09088783014582306,0.00024498067424750153,4081954.6401840253
recompute,394,394000,220.0,0.09086003425903831,0.00023060922400771144,4336339.989447085
recompute,417,417000,220.0,0.0908765133767931,0.00021792928867336476,4588644.353806032
recompute,440,440000,220.0,0.09083355648312856,0.00020643990109801946,4844024.79695624
